Bundesland;Regionalbereich;Bf. Nr.;Station;Bf DS 100 Abk.;Kategorie Vst;StraÃŸe;PLZ;Ort;AufgabentrÃ¤ger;VerkehrsverbÃ¼nde;Fernverkehr;Nahverkehr
ThÃ¼ringen;OberweiÃŸbacher Berg- und Schwarzatalbahn (OBS);3137;KatzhÃ¼tte;UKH;OBS;BahnhofstraÃŸe 103;98746;KatzhÃ¼tte;Nahverkehrsservicegesellschaft ThÃ¼ringen;-;nein;ja
Sachsen;Erzgebirgsbahn (EGB);3157;Kemtau;DKAU;EGB;MÃ¼hlenweg;9235;Burkhardtsdorf;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);3182;KirchanschÃ¶ring;MKAG;SOB;Am Bahnweiher 1;83417;KirchanschÃ¶ring;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);7550;Kirchweidach;MKW;SOB;BahnhofstraÃŸe 12-24;84558;Kirchweidach;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;Westfrankenbahn (WFB);3250;Kleinheubach;NKLH;WFB 2;BahnhofstraÃŸe;63924;Kleinheubach;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Bayern;Westfrankenbahn (WFB);3262;Kleinwallstadt;NKT;WFB 2;WallstraÃŸe;63839;Kleinwallstadt;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Bayern;Westfrankenbahn (WFB);3270;Klingenberg am Main;NKM;WFB 2;BahnhofstraÃŸe;63911;Klingenberg;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Baden-WÃ¼rttemberg;Westfrankenbahn (WFB);897;Kloster Bronnbach;TBR;WFB 1;L 509;97877;Wertheim;Nahverkehrsgesellschaft Baden-WÃ¼rttemberg;Verkehrsverbund Rhein-Neckar;nein;ja
Hessen;Kurhessenbahn (KHB);3371;Korbach Hauptbahnhof;FKOB;KHB 1;Am Hauptbahnhof;34497;Korbach;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);3372;Korbach SÃ¼d;FKBS;KHB 1;Am SÃ¼dbahnhof;34497;Korbach;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);7490;KÃ¼lte-Wetterburg;FKWB;KHB 1;Alte MÃ¼hle 11;34471;Volkmarsen;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);8246;Lahntal-Sarnau;FLSR;KHB 2;HauptstraÃŸe;35094;Lahntal;Rhein-Main-Verkehrsverbund;Rhein-Main-Verkehrsverbund;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);3514;Landshut (Bay) SÃ¼d;MLAS;SOB;Habichtstr. 8-17;84036;Landshut;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;Westfrankenbahn (WFB);3577;Laudenbach am Main;NLK;WFB 2;Miltenberger StraÃŸe;63925;Laudenbach;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Baden-WÃ¼rttemberg;Westfrankenbahn (WFB);3579;Laudenbach (WÃ¼rtt);TLC;WFB 1;BahnstraÃŸe;97990;Weikersheim;Nahverkehrsgesellschaft Baden-WÃ¼rttemberg;Verkehrsverbund Rhein-Neckar;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);3588;Laufen (Oberbay);MLF;SOB;BahnhofstraÃŸe 42-50;83410;Laufen;Bayrische Eisenbahn Gesellschaft;Salzburger Verkehrsverbund;nein;ja
Sachsen;Erzgebirgsbahn (EGB);3601;Lauter (Sachs);DLR;EGB;BahnhofstraÃŸe;8315;Lauter-Bernsbach;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Nordrhein-Westfalen;Kurhessenbahn (KHB);3624;Leimstruth;ELEI;KHB 3;HauptstraÃŸe;57339;ErndtebrÃ¼ck;Zweckverband Nahverkehr Westfalen-Lippe;Zweckverband / Verkehrsgemeinschaft Westfalen-SÃ¼d;nein;ja
Sachsen;Erzgebirgsbahn (EGB);3659;Lengefeld-Rauenstein;DRAU;EGB;Rauenstein;9514;Pockau-Lengefeld;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);3678;Leubsdorf (Sachs);DLEU;EGB;HauptstraÃŸe;9573;Leubsdorf+Hohenfichte;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
ThÃ¼ringen;OberweiÃŸbacher Berg- und Schwarzatalbahn (OBS);3702;Lichtenhain a d Bergbahn;ULIH;OBS;BergbahnstraÃŸe 9;98744;OberweiÃŸbach;Nahverkehrsservicegesellschaft ThÃ¼ringen;-;nein;ja
Sachsen;Erzgebirgsbahn (EGB);3791;LÃ¶ÃŸnitz ob Bf;DLN;EGB;BahnhofstraÃŸe;8294;LÃ¶ÃŸnitz;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);3792;LÃ¶ÃŸnitz unt Bf;DLNU;EGB;BahnhofstraÃŸe;8294;LÃ¶ÃŸnitz;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Hessen;Kurhessenbahn (KHB);3921;Mandern;FMAN;KHB 1;Fritzlarer StraÃŸe;34537;Bad Wildungen;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Sachsen;Erzgebirgsbahn (EGB);3948;Marienberg (Sachs);DMG;EGB;Untere BahnhofstraÃŸe;9496;Marienberg;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Baden-WÃ¼rttemberg;Westfrankenbahn (WFB);3958;Markelsheim;TMA;WFB 1;Weikersheimer StraÃŸe;97980;Bad Mergentheim;Nahverkehrsgesellschaft Baden-WÃ¼rttemberg;Verkehrsverbund Rhein-Neckar;nein;ja
Sachsen;Erzgebirgsbahn (EGB);3959;Markersbach (Erzgeb);DMAR;EGB;Annaberger StraÃŸe;8352;Raschau-Markersbach;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);3975;Marktl;MMK;SOB;HauptstraÃŸe 36;84533;Marktl;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);3998;Massing;MMSG;SOB;Ludwig-Thoma-Strasse;84323;Massing;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Rottal-Inn;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);4000;Matzing;MMTZ;SOB;BahnhofstraÃŸe;83301;Traunreut;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Sachsen;Erzgebirgsbahn (EGB);4030;Meinersdorf (Erzgeb);DMS;EGB;BahnhofstraÃŸe;9235;Burkhardtsdorf;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
ThÃ¼ringen;OberweiÃŸbacher Berg- und Schwarzatalbahn (OBS);4045;Mellenbach-Glasbach;UMEL;OBS;August-Bebel-StraÃŸe 29;98746;Mellenbach-Glasbach;Nahverkehrsservicegesellschaft ThÃ¼ringen;-;nein;ja
Hessen;Kurhessenbahn (KHB);7494;Mengeringhausen;FMGH;KHB 1;Auf der Schanze;34454;Bad Arolsen;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
ThÃ¼ringen;OberweiÃŸbacher Berg- und Schwarzatalbahn (OBS);4089;Meuselbach-SchwarzmÃ¼hle;UMEU;OBS;Mellenbacher StraÃŸe 18;98746;Meuselbach-SchwarzmÃ¼hle;Nahverkehrsservicegesellschaft ThÃ¼ringen;-;nein;ja
Bayern;Westfrankenbahn (WFB);4110;Miltenberg;NM;WFB 2;BrÃ¼ckenstraÃŸe;63897;Miltenberg;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Bayern;Westfrankenbahn (WFB);850;Miltenberg-Breitendiel;NBRE;WFB 2;GreinbergstraÃŸe;63897;Miltenberg;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);4137;Mittergars;MMIG;SOB;Kirchenstrasse 18;83559;Gars a.Inn;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);4201;MÃ¼hldorf (Oberbay);MMF;SOB;Bahnhofsplatz;84453;MÃ¼hldorf a.Inn;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Hessen;Kurhessenbahn (KHB);4272;MÃ¼nchhausen;FMHN;KHB 2;Am Bahnhof;35117;MÃ¼nchhausen;Rhein-Main-Verkehrsverbund;Rhein-Main-Verkehrsverbund;nein;ja
Sachsen;Erzgebirgsbahn (EGB);4339;NennigmÃ¼hle;DNGM;EGB;NennigmÃ¼hle;9509;Pockau-Lengefeld;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);4407;Neukirchen (Inn);MNK;SOB;Bahnhofstr. 12;94127;Neuburg a.Inn;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Landkreis Passau;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);4417;Neumarkt-St. Veit;MNR;SOB;BahnhofstraÃŸe 22;84494;Neumarkt-Sankt Veit;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);4430;NeuÃ¶tting;MNN;SOB;Am Bahnhof;84543;WinhÃ¶ring;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);4459;Neustift (b Passau);NNSP;SOB;Neustift;94036;Passau;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Landkreis Passau;nein;ja
Baden-WÃ¼rttemberg;Westfrankenbahn (WFB);4530;Niederstetten;TNI;WFB 1;BahnhofstraÃŸe;97996;Niederstetten;Nahverkehrsgesellschaft Baden-WÃ¼rttemberg;Verkehrsverbund Rhein-Neckar;nein;ja
