current_station_departure_time;current_station_name;type;name;line;number;current_station;stops;max_capacity
2021-12-15T16:02:00.000Z;Bayreuth Hbf;RE;RE 38;38;59310;8000028;8000028%2021-12-15T16:02:00.000Z%0,8005895,8000267,8006017,8003476,8001289,8000228,;602
2021-12-15T16:03:00.000Z;Bayreuth Hbf;RE;RE 32;32;3464;8000028;8000028%2021-12-15T16:03:00.000Z%,8004759,8002794,8000284,;602
2021-12-15T16:15:00.000Z;Bayreuth Hbf;RE;RE 30;30;3414;8000028;8000028%2021-12-15T16:15:00.000Z%0,8001348,8000328,8004759,8004284,8000284,;602
2021-12-15T16:32:00.000Z;Bayreuth Hbf;RE;RE 30;30;3091;8000028;8000028%2021-12-15T16:34:00.000Z%2,8004126,8002924,;602
2021-12-15T17:01:00.000Z;Bayreuth Hbf;RE;RE 32;32;3476;8000028;8000028%2021-12-15T17:01:00.000Z%,8001348,8004759,8002794,8000284,;602
2021-12-15T17:03:00.000Z;Bayreuth Hbf;RE;RE 32;32;59312;8000028;8000028%2021-12-15T17:03:00.000Z%,8005895,8000267,8003476,8003813,8001289,8000228,;602
2021-12-15T17:30:00.000Z;Bayreuth Hbf;RE;RE 30;30;3090;8000028;8000028%2021-12-15T17:30:00.000Z%,8004759,8004284,8000284,;602
2021-12-15T18:02:00.000Z;Bayreuth Hbf;RE;RE 38;38;59314;8000028;8000028%2021-12-15T18:02:00.000Z%,8005895,8000267,8003476,8001289,8002878,8000228,;602
2021-12-15T18:15:00.000Z;Bayreuth Hbf;RE;RE 30;30;3416;8000028;8000028%2021-12-15T18:15:00.000Z%,8001348,8000328,8004759,8004284,8002794,8000284,;602
2021-12-15T18:32:00.000Z;Bayreuth Hbf;RE;RE 30;30;3093;8000028;8000028%2021-12-15T18:32:00.000Z%,8004126,8002924,;602
2021-12-15T19:01:00.000Z;Bayreuth Hbf;RE;RE 32;32;3478;8000028;8000028%2021-12-15T19:01:00.000Z%,8001348,8004759,8002794,8000284,;602
2021-12-15T19:03:00.000Z;Bayreuth Hbf;RE;RE 32;32;59322;8000028;8000028%2021-12-15T19:03:00.000Z%,8005895,8000267,8003476,8001289,8002878,8000228,;602
2021-12-15T19:29:00.000Z;Bayreuth Hbf;RE;RE 30;30;3092;8000028;8000028%2021-12-15T19:29:00.000Z%,8004759,8004284,8000284,;602
2021-12-15T20:03:00.000Z;Bayreuth Hbf;RE;RE 38;38;59316;8000028;8000028%2021-12-15T20:03:00.000Z%,8005895,8000267,8006017,8003476,8003813,8001289,8002878,8000228,;602
2021-12-15T20:13:00.000Z;Bayreuth Hbf;RE;RE 32;32;3418;8000028;8000028%2021-12-15T20:13:00.000Z%,8001348,8000328,8004759,8004284,8002794,8000284,;602
2021-12-15T21:05:00.000Z;Bayreuth Hbf;RE;RE 32;32;3447;8000028;8000028%2021-12-15T21:05:00.000Z%,8000974,8004936,8002605,8005895,8000267,8003763,8006017,8003476,8003813,8001289,8002878,8000228,;602
2021-12-15T21:27:00.000Z;Bayreuth Hbf;RE;RE 30;30;3094;8000028;8000028%2021-12-15T21:27:00.000Z%,8001348,8000328,8004759,8004284,8002794,8000284,;602
2021-12-15T15:44:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79304;8000048;8000048%2021-12-15T15:44:00.000Z%0,8000036,;426
2021-12-15T16:15:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79311;8000048;8000048%2021-12-15T16:15:00.000Z%0,8002461,8000315,8002801,8001335,8000846,8006206,8006207,8005834,8000263,;426
2021-12-15T16:27:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89987;8000048;8000048%2021-12-15T16:27:00.000Z%,8000036,;426
2021-12-15T16:30:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89988;8000048;8000048%2021-12-15T16:30:00.000Z%,8003096,8002461,8000315,8004626,8004251,8000441,8002680,8000149,8001045,8003986,8001558,8005102,8002841,8000263,;426
2021-12-15T16:43:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79306;8000048;8000048%2021-12-15T16:43:00.000Z%0,8000036,;426
2021-12-15T17:17:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79313;8000048;8000048%2021-12-15T17:17:00.000Z%0,8002461,8000315,8002801,8001335,8000846,8006206,8006207,8005834,8000263,;426
2021-12-15T17:27:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89989;8000048;8000048%2021-12-15T17:27:00.000Z%,8000036,;426
2021-12-15T17:30:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89990;8000048;8000048%2021-12-15T17:30:00.000Z%,8003096,8002461,8000315,8004626,8004251,8000441,8002680,8000149,8001045,8003986,8001558,8005102,8002841,8000263,;426
2021-12-15T17:44:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79308;8000048;8000048%2021-12-15T17:44:00.000Z%,8000036,;426
2021-12-15T18:15:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79315;8000048;8000048%2021-12-15T18:15:00.000Z%0,8002461,8000315,8002801,8001335,8000846,8006206,8006207,8005834,8000263,;426
2021-12-15T18:27:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89991;8000048;8000048%2021-12-15T18:27:00.000Z%,8000036,;426
2021-12-15T18:30:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89992;8000048;8000048%2021-12-15T18:30:00.000Z%,8003096,8002461,8000315,8004626,8004251,8000441,8002680,8000149,8001045,8003986,8001558,8005102,8002841,8000263,;426
2021-12-15T18:44:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79310;8000048;8000048%2021-12-15T18:44:00.000Z%,8000036,;426
2021-12-15T19:15:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79317;8000048;8000048%2021-12-15T19:15:00.000Z%0,8002461,8000315,8002801,8001335,8000846,8006206,8006207,8005834,8000263,;426
2021-12-15T19:27:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89993;8000048;8000048%2021-12-15T19:27:00.000Z%,8000036,;426
2021-12-15T19:30:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89994;8000048;8000048%2021-12-15T19:30:00.000Z%,8003096,8002461,8000315,8004626,8004251,8000441,8002680,8000149,8001045,8003986,8001558,8005102,8002841,8000263,;426
2021-12-15T19:44:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79312;8000048;8000048%2021-12-15T19:44:00.000Z%,8000036,;426
2021-12-15T20:18:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79319;8000048;8000048%2021-12-15T20:18:00.000Z%,8002461,8000315,8002801,8001335,8000846,8006206,8006207,8005834,8000263,;426
2021-12-15T20:27:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89995;8000048;8000048%2021-12-15T20:27:00.000Z%,8000036,;426
2021-12-15T20:30:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;90090;8000048;8000048%2021-12-15T20:30:00.000Z%,8003096,8002461,8000315,8004626,8004251,8000441,8002680,8000149,8001045,8003986,8001558,8005102,8002841,8000263,;426
2021-12-15T20:44:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79314;8000048;8000048%2021-12-15T20:44:00.000Z%,8000036,;426
2021-12-15T21:28:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;90085;8000048;8000048%2021-12-15T21:28:00.000Z%,8000036,;426
2021-12-15T21:44:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79316;8000048;8000048%2021-12-15T21:44:00.000Z%,8000036,;426
2021-12-15T22:57:00.000Z;Bielefeld-Brackwede;RE;RE 6;6;91839;8000048;8000048%2021-12-15T22:57:00.000Z%,8000036,;602
2021-12-15T23:10:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89996;8000048;8000048%2021-12-15T23:10:00.000Z%,8003096,8002461,8000315,8004626,8004251,8000441,8002680,8000149,;426
2021-12-16T00:46:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89997;8000048;8000048%2021-12-16T00:46:00.000Z%,8000036,;426
2021-12-16T04:27:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89963;8000048;8000048%2021-12-16T04:27:00.000Z%,8000036,;426
2021-12-16T04:30:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89964;8000048;8000048%2021-12-16T04:30:00.000Z%,8003096,8002461,8000315,8004626,8004251,8000441,8002680,8000149,8001045,8003986,8001558,8005102,8002841,8000263,;426
2021-12-15T15:44:00.000Z;Kaufering;RB;RB 74;74;57391;8000195;8000195%2021-12-15T15:44:00.000Z%0,8000119,8002141,8004158,8098261,;426
2021-12-15T15:56:00.000Z;Kaufering;RE;RE 72;72;78949;8000195;8000195%2021-12-15T16:21:00.000Z%25,8000057,8000144,8004927,8000338,8005725,8005607,8000249,;602
2021-12-15T16:03:00.000Z;Kaufering;RE;RE 72;72;78938;8000195;8000195%2021-12-15T16:03:00.000Z%0,8000119,8004158,8000261,;602
2021-12-15T16:15:00.000Z;Kaufering;RB;RB 74;74;57388;8000195;8000195%2021-12-15T16:15:00.000Z%0,8000057,;426
2021-12-15T16:44:00.000Z;Kaufering;RB;RB 74;74;57393;8000195;8000195%2021-12-15T16:44:00.000Z%,8000119,8002141,8004158,8098261,;426
2021-12-15T16:57:00.000Z;Kaufering;RE;RE 70;70;3890;8000195;8000195%2021-12-15T16:57:00.000Z%,8000057,8000194,8000197,8003065,8004584,8005138,8002710,8000387,8003693,;602
2021-12-15T16:57:00.000Z;Kaufering;RE;RE 76;76;7890;8000195;8000195%2021-12-15T16:57:00.000Z%,8000057,8000194,8000197,8003065,8001004,8005609,8001995,8004585,;602
2021-12-15T17:03:00.000Z;Kaufering;RE;RE 70;70;3889;8000195;8000195%2021-12-15T17:06:00.000Z%3,8000119,8004158,8098261,;602
2021-12-15T17:03:00.000Z;Kaufering;RE;RE 76;76;7889;8000195;8000195%2021-12-15T17:06:00.000Z%3,8000119,8004158,8098261,;602
2021-12-15T17:15:00.000Z;Kaufering;RB;RB 74;74;57392;8000195;8000195%2021-12-15T17:15:00.000Z%,8000057,;426
2021-12-15T17:56:00.000Z;Kaufering;RE;RE 72;72;78959;8000195;8000195%2021-12-15T17:56:00.000Z%0,8000057,8000144,8004927,8000338,8005725,8005607,8000249,;602
2021-12-15T18:03:00.000Z;Kaufering;RE;RE 72;72;78948;8000195;8000195%2021-12-15T18:03:00.000Z%0,8000119,8004158,8000261,;602
2021-12-15T18:15:00.000Z;Kaufering;RB;RB 74;74;57396;8000195;8000195%2021-12-15T18:15:00.000Z%,8000057,;426
2021-12-15T18:44:00.000Z;Kaufering;RB;RB 74;74;57395;8000195;8000195%2021-12-15T18:44:00.000Z%,8000119,8002141,8004158,8098261,;426
2021-12-15T18:57:00.000Z;Kaufering;RE;RE 70;70;3892;8000195;8000195%2021-12-15T18:57:00.000Z%,8000057,8000194,8000197,8003901,8003065,8004584,8005138,8002710,8000387,8003693,;602
2021-12-15T18:57:00.000Z;Kaufering;RE;RE 76;76;7892;8000195;8000195%2021-12-15T18:57:00.000Z%,8000057,8000194,8000197,8003901,8003065,8001004,8005609,8000561,8001995,8003551,8004585,;602
2021-12-15T19:02:00.000Z;Kaufering;RE;RE 70;70;3893;8000195;8000195%2021-12-15T19:02:00.000Z%,8000119,8004158,8098261,;602
2021-12-15T19:02:00.000Z;Kaufering;RE;RE 76;76;7893;8000195;8000195%2021-12-15T19:02:00.000Z%,8000119,8004158,8098261,;602
2021-12-15T19:56:00.000Z;Kaufering;RE;RE 72;72;78965;8000195;8000195%2021-12-15T19:56:00.000Z%0,8000057,8000144,8004927,8000338,8005725,8005607,8000249,;602
2021-12-15T20:03:00.000Z;Kaufering;RE;RE 72;72;78954;8000195;8000195%2021-12-15T20:03:00.000Z%0,8000119,8004158,8000261,;602
2021-12-15T20:15:00.000Z;Kaufering;RB;RB 74;74;57398;8000195;8000195%2021-12-15T20:15:00.000Z%,8000057,;426
2021-12-15T20:57:00.000Z;Kaufering;RE;RE 70;70;3894;8000195;8000195%2021-12-15T20:57:00.000Z%,8000057,8000194,8000962,8002458,8000197,8003901,8003065,8004584,8005138,8002710,8000387,8000230,;602
2021-12-15T21:02:00.000Z;Kaufering;RE;RE 70;70;3895;8000195;8000195%2021-12-15T21:02:00.000Z%,8000119,8004158,8098261,;602
2021-12-15T21:02:00.000Z;Kaufering;RE;RE 76;76;7895;8000195;8000195%2021-12-15T21:02:00.000Z%,8000119,8004158,8098261,;602
2021-12-15T21:56:00.000Z;Kaufering;RE;RE 72;72;78971;8000195;8000195%2021-12-15T21:56:00.000Z%,8000057,8000144,8004927,8000338,8005725,8005607,8000249,;602
2021-12-15T22:03:00.000Z;Kaufering;RE;RE 72;72;78960;8000195;8000195%2021-12-15T22:03:00.000Z%,8000119,8004158,8000261,;602
2021-12-15T22:57:00.000Z;Kaufering;RE;RE 70;70;3896;8000195;8000195%2021-12-15T22:57:00.000Z%,8000057,8000194,8000962,8002458,8000197,;602
2021-12-15T23:01:00.000Z;Kaufering;RE;RE 70;70;3897;8000195;8000195%2021-12-15T23:01:00.000Z%,8000119,8004158,8098261,;602
2021-12-15T23:56:00.000Z;Kaufering;RE;RE 72;72;78973;8000195;8000195%2021-12-15T23:56:00.000Z%,8000057,;602
2021-12-16T03:44:00.000Z;Kaufering;RB;RB 74;74;57361;8000195;8000195%2021-12-16T03:44:00.000Z%,8000119,8002141,8004158,8098261,;426
2021-12-16T04:15:00.000Z;Kaufering;RB;RB 74;74;57358;8000195;8000195%2021-12-16T04:15:00.000Z%,8000057,;426
2021-12-16T04:30:00.000Z;Kaufering;RE;RE 72;72;78900;8000195;8000195%2021-12-16T04:30:00.000Z%,8000119,8004158,8000261,;602
2021-12-16T04:44:00.000Z;Kaufering;RB;RB 74;74;57365;8000195;8000195%2021-12-16T04:44:00.000Z%,8000119,8004158,8098261,;426
2021-12-16T04:56:00.000Z;Kaufering;RE;RE 70;70;3872;8000195;8000195%2021-12-16T04:56:00.000Z%,8000057,8000194,8002458,8000197,8003901,8003065,8004584,8005138,8002710,8000387,8003693,;602
2021-12-16T05:03:00.000Z;Kaufering;RE;RE 70;70;3871;8000195;8000195%2021-12-16T05:03:00.000Z%,8004158,8000261,;602
2021-12-16T05:15:00.000Z;Kaufering;RB;RB 74;74;57360;8000195;8000195%2021-12-16T05:15:00.000Z%,8000057,;426
2021-12-16T05:23:00.000Z;Kaufering;RE;RE 72;72;78902;8000195;8000195%2021-12-16T05:23:00.000Z%,8000119,8004158,8000261,;602
2021-12-16T05:29:00.000Z;Kaufering;RE;RE 72;72;78913;8000195;8000195%2021-12-16T05:29:00.000Z%,8000057,8000144,8004927,8000338,8005725,8005607,8000249,;602
2021-12-16T05:44:00.000Z;Kaufering;RB;RB 74;74;57369;8000195;8000195%2021-12-16T05:44:00.000Z%,8000119,8004158,8098261,;426
2021-12-16T05:56:00.000Z;Kaufering;RE;RE 72;72;78915;8000195;8000195%2021-12-16T05:56:00.000Z%,8000057,8000144,8004927,8000338,8005725,8005607,8000249,;602
2021-12-16T06:03:00.000Z;Kaufering;RE;RE 72;72;78904;8000195;8000195%2021-12-16T06:03:00.000Z%,8000119,8004158,8000261,;602
2021-12-16T06:15:00.000Z;Kaufering;RB;RB 74;74;57362;8000195;8000195%2021-12-16T06:15:00.000Z%,8000057,;426
2021-12-16T06:23:00.000Z;Kaufering;RE;RE 72;72;78906;8000195;8000195%2021-12-16T06:23:00.000Z%,8000119,8004158,8000261,;602
2021-12-16T06:44:00.000Z;Kaufering;RB;RB 74;74;57373;8000195;8000195%2021-12-16T06:44:00.000Z%,8000119,8004158,8098261,;426
2021-12-16T06:57:00.000Z;Kaufering;RE;RE 70;70;3874;8000195;8000195%2021-12-16T06:57:00.000Z%,8000057,8000194,8000197,8003065,8004584,8005138,8002710,8000387,8003693,;602
2021-12-16T06:57:00.000Z;Kaufering;RE;RE 76;76;7874;8000195;8000195%2021-12-16T06:57:00.000Z%,8000057,8000194,8000197,8003065,8001004,8005609,8001995,8004585,;602
2021-12-16T07:03:00.000Z;Kaufering;RE;RE 70;70;3875;8000195;8000195%2021-12-16T07:03:00.000Z%,8004158,8098261,;602
2021-12-16T07:03:00.000Z;Kaufering;RE;RE 76;76;7875;8000195;8000195%2021-12-16T07:03:00.000Z%,8004158,8098261,;602
2021-12-16T07:15:00.000Z;Kaufering;RB;RB 74;74;57364;8000195;8000195%2021-12-16T07:15:00.000Z%,8000057,;426
2021-12-16T07:57:00.000Z;Kaufering;RE;RE 72;72;78921;8000195;8000195%2021-12-16T07:57:00.000Z%,8000057,8000144,8004927,8000338,8005725,8005607,8000249,;602
2021-12-16T08:03:00.000Z;Kaufering;RE;RE 72;72;78912;8000195;8000195%2021-12-16T08:03:00.000Z%,8000119,8004158,8000261,;602
2021-12-16T08:15:00.000Z;Kaufering;RB;RB 74;74;57368;8000195;8000195%2021-12-16T08:15:00.000Z%,8000057,;426
2021-12-16T08:44:00.000Z;Kaufering;RB;RB 74;74;57379;8000195;8000195%2021-12-16T08:44:00.000Z%,8000119,8002141,8004158,8098261,;426
2021-12-16T08:56:00.000Z;Kaufering;RE;RE 70;70;3876;8000195;8000195%2021-12-16T08:56:00.000Z%,8000057,8000194,8000197,8003065,8004584,8005138,8002710,8000387,8003693,;602
2021-12-16T08:56:00.000Z;Kaufering;RE;RE 76;76;7876;8000195;8000195%2021-12-16T08:56:00.000Z%,8000057,8000194,8000197,8003065,8001004,8005609,8000561,8001995,8003551,8004585,;602
2021-12-16T09:03:00.000Z;Kaufering;RE;RE 70;70;3877;8000195;8000195%2021-12-16T09:03:00.000Z%,8000119,8004158,8098261,;602
2021-12-16T09:03:00.000Z;Kaufering;RE;RE 76;76;7877;8000195;8000195%2021-12-16T09:03:00.000Z%,8000119,8004158,8098261,;602
