current_station_departure_time;current_station_name;type;name;line;number;current_station;stops;max_capacity
2021-12-19T16:15:00.000Z;Bayreuth Hbf;RE;RE 30;30;3414;8000028;8000028%2021-12-19T16:15:00.000Z%,8001348,8000328,8004759,8004284,8000284,;602
2021-12-19T16:32:00.000Z;Bayreuth Hbf;RE;RE 30;30;3091;8000028;8000028%2021-12-19T16:32:00.000Z%,8004126,8002924,;602
2021-12-18T21:28:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;90085;8000048;8000048%2021-12-18T21:28:00.000Z%0,8000036,;426
2021-12-18T21:44:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79316;8000048;8000048%2021-12-18T21:44:00.000Z%0,8000036,;426
2021-12-18T22:44:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79318;8000048;8000048%2021-12-18T22:44:00.000Z%0,8000036,;426
2021-12-18T22:57:00.000Z;Bielefeld-Brackwede;RE;RE 6;6;91839;8000048;8000048%2021-12-18T22:57:00.000Z%0,8000036,;602
2021-12-18T23:10:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89996;8000048;8000048%2021-12-18T23:10:00.000Z%,8003096,8002461,8000315,8004626,8004251,8000441,8002680,8000149,;426
2021-12-19T00:18:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89998;8000048;8000048%2021-12-19T00:18:00.000Z%0,8003096,8002461,8000315,8004626,8004251,8000441,8002680,8000149,;426
2021-12-19T00:46:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89997;8000048;8000048%2021-12-19T00:46:00.000Z%,8000036,;426
2021-12-19T01:46:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89999;8000048;8000048%2021-12-19T01:46:00.000Z%0,8000036,;426
2021-12-19T07:18:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79291;8000048;8000048%2021-12-19T07:18:00.000Z%,8002461,8000315,8002801,8001335,8000846,8006206,8006207,8005834,8000263,;426
2021-12-19T08:27:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89971;8000048;8000048%2021-12-19T08:27:00.000Z%,8000036,;426
2021-12-19T08:30:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89972;8000048;8000048%2021-12-19T08:30:00.000Z%,8003096,8002461,8000315,8004626,8004251,8000441,8002680,8000149,8001045,8003986,8001558,8005102,8002841,8000263,;426
2021-12-19T08:44:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79286;8000048;8000048%2021-12-19T08:44:00.000Z%,8000036,;426
2021-12-19T09:18:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79295;8000048;8000048%2021-12-19T09:18:00.000Z%,8002461,8000315,8002801,8001335,8000846,8006206,8006207,8005834,8000263,;426
2021-12-19T09:27:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89973;8000048;8000048%2021-12-19T09:27:00.000Z%,8000036,;426
2021-12-19T09:30:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89974;8000048;8000048%2021-12-19T09:30:00.000Z%,8003096,8002461,8000315,8004626,8004251,8000441,8002680,8000149,8001045,8003986,8001558,8005102,8002841,8000263,;426
2021-12-19T09:44:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79288;8000048;8000048%2021-12-19T09:44:00.000Z%,8000036,;426
2021-12-19T10:15:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79297;8000048;8000048%2021-12-19T10:15:00.000Z%,8002461,8000315,8002801,8001335,8000846,8006206,8006207,8005834,8000263,;426
2021-12-19T10:27:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89975;8000048;8000048%2021-12-19T10:27:00.000Z%,8000036,;426
2021-12-19T10:30:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89976;8000048;8000048%2021-12-19T10:30:00.000Z%,8003096,8002461,8000315,8004626,8004251,8000441,8002680,8000149,8001045,8003986,8001558,8005102,8002841,8000263,;426
2021-12-19T10:44:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79290;8000048;8000048%2021-12-19T10:44:00.000Z%,8000036,;426
2021-12-19T11:17:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79299;8000048;8000048%2021-12-19T11:17:00.000Z%,8002461,8000315,8002801,8001335,8000846,8006206,8006207,8005834,8000263,;426
2021-12-19T11:27:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89977;8000048;8000048%2021-12-19T11:27:00.000Z%,8000036,;426
2021-12-19T11:30:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89978;8000048;8000048%2021-12-19T11:30:00.000Z%,8003096,8002461,8000315,8004626,8004251,8000441,8002680,8000149,8001045,8003986,8001558,8005102,8002841,8000263,;426
2021-12-19T11:44:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79292;8000048;8000048%2021-12-19T11:44:00.000Z%,8000036,;426
2021-12-19T12:15:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79303;8000048;8000048%2021-12-19T12:15:00.000Z%,8002461,8000315,8002801,8001335,8000846,8006206,8006207,8005834,8000263,;426
2021-12-19T12:27:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89979;8000048;8000048%2021-12-19T12:27:00.000Z%,8000036,;426
2021-12-19T12:30:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89980;8000048;8000048%2021-12-19T12:30:00.000Z%,8003096,8002461,8000315,8004626,8004251,8000441,8002680,8000149,8001045,8003986,8001558,8005102,8002841,8000263,;426
2021-12-19T12:44:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79294;8000048;8000048%2021-12-19T12:44:00.000Z%,8000036,;426
2021-12-19T13:17:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79305;8000048;8000048%2021-12-19T13:17:00.000Z%,8002461,8000315,8002801,8001335,8000846,8006206,8006207,8005834,8000263,;426
2021-12-19T13:27:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89981;8000048;8000048%2021-12-19T13:27:00.000Z%,8000036,;426
2021-12-19T13:30:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89982;8000048;8000048%2021-12-19T13:30:00.000Z%,8003096,8002461,8000315,8004626,8004251,8000441,8002680,8000149,8001045,8003986,8001558,8005102,8002841,8000263,;426
2021-12-19T13:44:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79298;8000048;8000048%2021-12-19T13:44:00.000Z%,8000036,;426
2021-12-19T14:15:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79307;8000048;8000048%2021-12-19T14:15:00.000Z%,8002461,8000315,8002801,8001335,8000846,8006206,8006207,8005834,8000263,;426
