current_station_departure_time;current_station_name;type;name;line;number;current_station;stops;max_capacity
2021-12-21T18:02:00.000Z;Bayreuth Hbf;RE;RE 38;38;59314;8000028;8000028%2021-12-21T18:02:00.000Z%0,8005895,8000267,8003476,8001289,8002878,8000228,;602
2021-12-21T18:15:00.000Z;Bayreuth Hbf;RE;RE 30;30;3416;8000028;8000028%2021-12-21T18:15:00.000Z%0,8001348,8000328,8004759,8004284,8002794,8000284,;602
2021-12-21T18:32:00.000Z;Bayreuth Hbf;RE;RE 30;30;3093;8000028;8000028%2021-12-21T18:33:00.000Z%1,8004126,8002924,;602
2021-12-21T19:01:00.000Z;Bayreuth Hbf;RE;RE 32;32;3478;8000028;8000028%2021-12-21T19:01:00.000Z%,8001348,8004759,8002794,8000284,;602
2021-12-21T19:03:00.000Z;Bayreuth Hbf;RE;RE 32;32;59322;8000028;8000028%2021-12-21T19:03:00.000Z%,8005895,8000267,8003476,8001289,8002878,8000228,;602
2021-12-21T19:29:00.000Z;Bayreuth Hbf;RE;RE 30;30;3092;8000028;8000028%2021-12-21T19:29:00.000Z%,8004759,8004284,8000284,;602
2021-12-21T20:03:00.000Z;Bayreuth Hbf;RE;RE 38;38;59316;8000028;8000028%2021-12-21T20:03:00.000Z%,8005895,8000267,8006017,8003476,8003813,8001289,8002878,8000228,;602
2021-12-21T20:13:00.000Z;Bayreuth Hbf;RE;RE 32;32;3418;8000028;8000028%2021-12-21T20:13:00.000Z%,8001348,8000328,8004759,8004284,8002794,8000284,;602
2021-12-21T21:05:00.000Z;Bayreuth Hbf;RE;RE 32;32;3447;8000028;8000028%2021-12-21T21:05:00.000Z%,8000974,8004936,8002605,8005895,8000267,8003763,8006017,8003476,8003813,8001289,8002878,8000228,;602
2021-12-21T21:27:00.000Z;Bayreuth Hbf;RE;RE 30;30;3094;8000028;8000028%2021-12-21T21:27:00.000Z%,8001348,8000328,8004759,8004284,8002794,8000284,;602
2021-12-21T22:57:00.000Z;Bayreuth Hbf;RE;RE 30;30;3099;8000028;8000028%2021-12-21T22:57:00.000Z%,8000974,8002605,8005895,8003887,8005674,8004126,8005466,8000287,8002924,;602
2021-12-22T04:00:00.000Z;Bayreuth Hbf;RE;RE 30;30;3400;8000028;8000028%2021-12-22T04:00:00.000Z%,8001348,8004759,8004284,8002794,8000284,;602
2021-12-22T04:45:00.000Z;Bayreuth Hbf;RE;RE 38;38;59318;8000028;8000028%2021-12-22T04:45:00.000Z%,8000974,8004936,8002605,8005895,8000267,;602
2021-12-22T04:51:00.000Z;Bayreuth Hbf;RE;RE 30;30;3450;8000028;8000028%2021-12-22T04:51:00.000Z%,8001348,8000328,8004759,8004284,8002794,8000284,;602
2021-12-22T05:24:00.000Z;Bayreuth Hbf;RE;RE 30;30;3402;8000028;8000028%2021-12-22T05:24:00.000Z%,8004759,8004284,8002794,8000284,;602
