current_station_departure_time;current_station_name;type;name;line;number;current_station;stops;max_capacity
2021-12-15T14:44:00.000Z;Marienheide;RB;RB 25;25;10552;8070483;8070483%2021-12-15T14:59:00.000Z%15,8003950,8003297,8002535,8001213,8003782,;426
2021-12-15T15:12:00.000Z;Marienheide;RB;RB 25;25;10561;8070483;8070483%2021-12-15T15:12:00.000Z%,8002462,8000363,8005218,8001789,8004739,8002988,8002932,8005134,8005143,8003358,8003320,8003368,8000207,8003392,;426
2021-12-15T15:44:00.000Z;Marienheide;RB;RB 25;25;10556;8070483;8070483%2021-12-15T15:46:00.000Z%2,8003950,8003297,8002535,8001213,8003782,;426
2021-12-15T16:12:00.000Z;Marienheide;RB;RB 25;25;10565;8070483;8070483%2021-12-15T16:12:00.000Z%,8002462,8000363,8005218,8001789,8004739,8002988,8002932,8005134,8005143,8003358,8003320,8003368,8000207,8003392,;426
2021-12-15T16:44:00.000Z;Marienheide;RB;RB 25;25;10560;8070483;8070483%2021-12-15T16:44:00.000Z%,8003950,8003297,8002535,8001213,8003782,;426
2021-12-15T17:12:00.000Z;Marienheide;RB;RB 25;25;10569;8070483;8070483%2021-12-15T17:12:00.000Z%,8002462,8000363,8005218,8001789,8004739,8002988,8002932,8005134,8005143,8003358,8003320,8003368,8000207,8003392,;426
2021-12-15T17:44:00.000Z;Marienheide;RB;RB 25;25;10566;8070483;8070483%2021-12-15T17:44:00.000Z%,8003950,8003297,8002535,8001213,8003782,;426
2021-12-15T18:12:00.000Z;Marienheide;RB;RB 25;25;10573;8070483;8070483%2021-12-15T18:12:00.000Z%,8002462,8000363,8005218,8001789,8004739,8002988,8002932,8005134,8005143,8003358,8003320,8003368,8000207,8003392,;426
2021-12-15T18:44:00.000Z;Marienheide;RB;RB 25;25;10570;8070483;8070483%2021-12-15T18:44:00.000Z%,8003950,8003297,8002535,8001213,8003782,;426
2021-12-15T19:12:00.000Z;Marienheide;RB;RB 25;25;10579;8070483;8070483%2021-12-15T19:12:00.000Z%,8002462,8000363,8005218,8001789,8004739,8002988,8002932,8005134,8005143,8003358,8003320,8003368,8000207,8003392,;426
2021-12-15T19:44:00.000Z;Marienheide;RB;RB 25;25;10574;8070483;8070483%2021-12-15T19:44:00.000Z%,8003950,8003297,8002535,8001213,8003782,;426
2021-12-15T20:12:00.000Z;Marienheide;RB;RB 25;25;10583;8070483;8070483%2021-12-15T20:12:00.000Z%,8002462,8000363,8005218,8001789,8004739,8002988,8002932,8005134,8005143,8003358,8003320,8003368,8000207,8003392,;426
2021-12-15T20:44:00.000Z;Marienheide;RB;RB 25;25;10578;8070483;8070483%2021-12-15T20:44:00.000Z%,8003950,8003297,8002535,8001213,8003782,;426
2021-12-15T21:12:00.000Z;Marienheide;RB;RB 25;25;10587;8070483;8070483%2021-12-15T21:12:00.000Z%,8002462,8000363,8005218,8001789,8004739,8002988,8002932,8005134,8005143,8003358,8003320,8003368,8000207,8003392,;426
2021-12-15T21:44:00.000Z;Marienheide;RB;RB 25;25;10582;8070483;8070483%2021-12-15T21:44:00.000Z%,8003950,;426
2021-12-15T22:12:00.000Z;Marienheide;RB;RB 25;25;10591;8070483;8070483%2021-12-15T22:12:00.000Z%,8002462,8000363,;426
2021-12-15T22:44:00.000Z;Marienheide;RB;RB 25;25;10586;8070483;8070483%2021-12-15T22:44:00.000Z%,8003950,;426
2021-12-16T03:44:00.000Z;Marienheide;RB;RB 25;25;10500;8070483;8070483%2021-12-16T03:44:00.000Z%,8003950,8003297,8002535,8001213,8003782,;426
2021-12-16T04:40:00.000Z;Marienheide;RB;RB 25;25;10507;8070483;8070483%2021-12-16T04:40:00.000Z%,8002462,8000363,8005218,8001789,8004739,8002988,8002932,8005134,8005143,8003358,8003320,8003368,8000207,8003392,;426
2021-12-16T04:44:00.000Z;Marienheide;RB;RB 25;25;10502;8070483;8070483%2021-12-16T04:44:00.000Z%,8003950,8003297,8002535,8001213,8003782,;426
2021-12-16T05:12:00.000Z;Marienheide;RB;RB 25;25;10511;8070483;8070483%2021-12-16T05:12:00.000Z%,8002462,8000363,8005218,8001789,8004739,8002932,8005134,8005143,8003358,8003320,8003368,8000207,8003392,;426
2021-12-16T05:44:00.000Z;Marienheide;RB;RB 25;25;10510;8070483;8070483%2021-12-16T05:44:00.000Z%,8003950,8003297,8002535,8001213,8003782,;426
2021-12-16T06:04:00.000Z;Marienheide;RB;RB 25;25;10519;8070483;8070483%2021-12-16T06:04:00.000Z%,8002462,8000363,8005218,8001789,8004739,8002988,8002932,8005134,8005143,8003358,8003320,8003368,8000207,8003392,;426
2021-12-16T06:26:00.000Z;Marienheide;RB;RB 25;25;10523;8070483;8070483%2021-12-16T06:26:00.000Z%,8002462,8000363,8005218,8001789,8004739,8002988,8002932,8005134,8005143,8003358,8003320,8003368,8000207,8003392,;426
2021-12-16T06:44:00.000Z;Marienheide;RB;RB 25;25;10518;8070483;8070483%2021-12-16T06:44:00.000Z%,8003950,8003297,8002535,8001213,8003782,;426
2021-12-16T07:12:00.000Z;Marienheide;RB;RB 25;25;10525;8070483;8070483%2021-12-16T07:12:00.000Z%,8002462,8000363,8005218,8001789,8004739,8002988,8002932,8005134,8005143,8003358,8003320,8003368,8000207,8003392,;426
2021-12-16T07:44:00.000Z;Marienheide;RB;RB 25;25;10524;8070483;8070483%2021-12-16T07:44:00.000Z%,8003950,8003297,8002535,8001213,8003782,;426
2021-12-16T08:12:00.000Z;Marienheide;RB;RB 25;25;10531;8070483;8070483%2021-12-16T08:12:00.000Z%,8002462,8000363,8005218,8001789,8004739,8002988,8002932,8005134,8005143,8003358,8003320,8003368,8000207,8003392,;426
2021-12-16T08:44:00.000Z;Marienheide;RB;RB 25;25;10528;8070483;8070483%2021-12-16T08:44:00.000Z%,8003950,8003297,8002535,8001213,8003782,;426
2021-12-16T09:12:00.000Z;Marienheide;RB;RB 25;25;10535;8070483;8070483%2021-12-16T09:12:00.000Z%,8002462,8000363,8005218,8001789,8004739,8002988,8002932,8005134,8005143,8003358,8003320,8003368,8000207,8003392,;426
2021-12-16T09:44:00.000Z;Marienheide;RB;RB 25;25;10532;8070483;8070483%2021-12-16T09:44:00.000Z%,8003950,8003297,8002535,8001213,8003782,;426
2021-12-16T10:12:00.000Z;Marienheide;RB;RB 25;25;10539;8070483;8070483%2021-12-16T10:12:00.000Z%,8002462,8000363,8005218,8001789,8004739,8002988,8002932,8005134,8005143,8003358,8003320,8003368,8000207,8003392,;426
2021-12-16T10:44:00.000Z;Marienheide;RB;RB 25;25;10536;8070483;8070483%2021-12-16T10:44:00.000Z%,8003950,8003297,8002535,8001213,8003782,;426
2021-12-16T11:12:00.000Z;Marienheide;RB;RB 25;25;10543;8070483;8070483%2021-12-16T11:12:00.000Z%,8002462,8000363,8005218,8001789,8004739,8002988,8002932,8005134,8005143,8003358,8003320,8003368,8000207,8003392,;426
2021-12-16T11:44:00.000Z;Marienheide;RB;RB 25;25;10540;8070483;8070483%2021-12-16T11:44:00.000Z%,8003950,8003297,8002535,8001213,8003782,;426
2021-12-16T12:12:00.000Z;Marienheide;RB;RB 25;25;10547;8070483;8070483%2021-12-16T12:12:00.000Z%,8002462,8000363,8005218,8001789,8004739,8002988,8002932,8005134,8005143,8003358,8003320,8003368,8000207,8003392,;426
2021-12-16T12:44:00.000Z;Marienheide;RB;RB 25;25;10544;8070483;8070483%2021-12-16T12:44:00.000Z%,8003950,8003297,8002535,8001213,8003782,;426
2021-12-16T13:12:00.000Z;Marienheide;RB;RB 25;25;10551;8070483;8070483%2021-12-16T13:12:00.000Z%,8002462,8000363,8005218,8001789,8004739,8002988,8002932,8005134,8005143,8003358,8003320,8003368,8000207,8003392,;426
2021-12-16T13:44:00.000Z;Marienheide;RB;RB 25;25;10548;8070483;8070483%2021-12-16T13:44:00.000Z%,8003950,8003297,8002535,8001213,8003782,;426
2021-12-16T14:12:00.000Z;Marienheide;RB;RB 25;25;10555;8070483;8070483%2021-12-16T14:12:00.000Z%,8002462,8000363,8005218,8001789,8004739,8002988,8002932,8005134,8005143,8003358,8003320,8003368,8000207,8003392,;426
2021-12-16T03:07:00.000Z;Zielitz Ort;RE;RE 20;20;16200;8073410;8073410%2021-12-16T03:07:00.000Z%,8011042,8012295,8013083,8011355,8010334,8013039,8012014,8010172,8011277,8011545,8012673,8010310,8000440,8000445,8006402,8005682,8000168,;602
2021-12-15T14:46:00.000Z;Nohfelden;RB;RB 73;73;76719;8079083;8079083%2021-12-15T14:46:00.000Z%0,8004253,;426
2021-12-15T15:07:00.000Z;Nohfelden;RB;RB 73;73;76730;8079083;8079083%2021-12-15T15:07:00.000Z%0,8000154,8006170,8004199,8002929,8000792,8005659,8004555,8004392,8000875,8006392,8000272,8003516,8000967,8002132,8002117,8005797,8005796,8001570,8003108,8000323,;426
2021-12-15T15:46:00.000Z;Nohfelden;RB;RB 73;73;76721;8079083;8079083%2021-12-15T15:46:00.000Z%0,8004253,;426
2021-12-15T16:07:00.000Z;Nohfelden;RB;RB 73;73;76732;8079083;8079083%2021-12-15T16:07:00.000Z%0,8000154,8006170,8004199,8002929,8000792,8005659,8004555,8004392,8000875,8006392,8000272,8003516,8000967,8002132,8002117,8005797,8005796,8001570,8003108,8000323,;426
2021-12-15T16:46:00.000Z;Nohfelden;RB;RB 73;73;76723;8079083;8079083%2021-12-15T16:46:00.000Z%0,8004253,;426
2021-12-15T17:07:00.000Z;Nohfelden;RB;RB 73;73;76734;8079083;8079083%2021-12-15T17:07:00.000Z%0,8000154,8006170,8004199,8002929,8000792,8005659,8004555,8004392,8000875,8006392,8000272,8003516,8000967,8002132,8002117,8005797,8005796,8001570,8003108,8000323,;426
2021-12-15T17:46:00.000Z;Nohfelden;RB;RB 73;73;76725;8079083;8079083%2021-12-15T17:46:00.000Z%0,8004253,;426
2021-12-15T18:07:00.000Z;Nohfelden;RB;RB 73;73;76736;8079083;8079083%2021-12-15T18:07:00.000Z%0,8000154,8006170,8004199,8002929,8000792,8005659,8004555,8004392,8000875,8006392,8000272,8003516,8000967,8002132,8002117,8005797,8005796,8001570,8003108,8000323,;426
2021-12-15T18:46:00.000Z;Nohfelden;RB;RB 73;73;76727;8079083;8079083%2021-12-15T18:46:00.000Z%0,8004253,;426
