rki_ags;population;incidence;cases_100k;cases_week
09462;74048;390.28738115816765;6653.792134831461;289
05711;333509;264.4606292483861;7106.554845596371;882
09181;121019;605.6900156173824;6301.489848701444;733
09363;42535;477.2540260961561;8755.142823557071;203
09261;73065;578.9365633340177;9028.946828166701;423
05758;250547;358.016659548907;6622.709511588644;897
03354;48503;197.92590149062946;2900.8514937220375;96
09361;42052;506.5157424141539;7395.605440882716;213
09661;70858;495.35691100510877;7668.858844449463;351
08211;55449;485.13048026114086;6779.202510414976;269
03459;359471;204.7453062973091;5886.427556047637;736
05314;330579;282.2320837076765;6322.2406746950055;933
04011;566573;214.2707118058926;5614.457448554732;1214
04012;113557;242.16913092103522;6775.4519756598;275
09463;40842;514.1765829293374;8099.505411096421;210
05166;298536;335.30294503845437;5515.247742315834;1001
03355;184235;187.80362037615004;3107.444296686297;346
01004;79905;168.95062887178526;3959.7021462987295;135
03252;148580;168.25952348902948;4121.01224929331;250
09562;112385;380.8337411576278;5522.089246785603;428
05970;275491;235.21639545393498;6181.690145957581;648
03361;137574;191.896724671813;4529.925712707343;264
05512;117388;217.22833679762837;6377.142467713906;255
07311;48750;365.12820512820514;7197.948717948719;178
08311;230940;400.96994890447735;5636.095955659479;926
09172;106327;988.460127719206;12800.135431263932;1051
05513;259105;252.79326913799426;8256.884274714885;655
03257;158406;185.59903033975985;4426.600002525157;294
05915;178967;241.94404555029698;7840.551610073365;433
08121;126458;570.9405494314318;10903.224786094988;722
05916;156940;259.97196380782464;7953.9951573849885;408
09464;45173;345.3390299515197;10754.211586567197;156
09161;136952;676.1493077866697;8286.114843156727;926
09761;295830;544.5695162762398;9752.89862420985;1611
05754;364818;351.68220866294973;7963.696966706686;1283
09572;138105;449.65786901270775;6259.005828898302;621
08212;308436;369.28244433204947;5833.949344434502;1139
07111;113388;171.9758704624828;5445.020637104456;195
03154;91518;201.05334469721802;3814.55014314124;184
05114;226844;344.28946765177835;7293.999400469045;781
07313;46685;334.1544393274071;6276.105815572454;156
06531;271667;191.41080808489806;6619.869178074628;520
07133;158746;270.2430297456314;5387.22235520895;429
05554;371898;246.30409413333763;5357.382938332554;916
05316;163905;372.77691345596537;7733.138098288643;611
03256;121645;124.9537588885692;4136.627070574212;152
07314;172557;325.1099636641805;8864.896816704046;561
05558;220712;177.60701728949942;3536.735655514879;392
07315;217123;250.54922785702115;6479.7372917654975;544
09675;91696;503.83877159309026;5917.379165939627;462
09376;148477;635.1152030280784;9002.067660311024;943
09673;79510;615.0169789963527;7399.069299459188;489
05358;265140;287.0181790752056;6892.20789017123;761
09771;135024;612.4837066003081;7041.711103211281;827
08327;141682;647.9298711198318;8609.421097951752;918
05117;170921;260.93926433849555;6642.249928329462;446
06432;297701;324.8225568607428;5476.635953523837;967
03353;256016;166.0052496718955;3882.569839385038;425
07134;80830;310.5282692069776;6350.364963503649;251
06631;223023;314.76574164996435;8217.53810145142;702
03359;205357;145.11314442653526;3779.272194276309;298
05913;587696;260.678990498489;6861.200348479486;1532
06534;245903;161.44577333338756;5812.047840001952;397
05515;316403;164.0313144944896;3901.66970603945;519
07316;53306;605.9355419652572;5815.480433722282;323
07233;60491;257.88960341207786;4762.691970706386;156
06533;172291;208.9488133448642;6969.603751792027;360
05119;209566;253.38079650324957;6928.127654295067;531
07141;122574;245.56594383800808;4590.696232479971;301
05570;277417;299.9095224878072;5964.666909381905;832
03153;134688;196.00855310049894;3005.464480874317;264
09271;119479;866.2610165803195;10782.647996719088;1035
03356;114640;122.9937194696441;3273.7264480111653;141
