current_station_departure_time;current_station_name;type;name;line;number;current_station;stops;max_capacity
2022-01-04T11:27:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89977;8000048;8000048%2022-01-04T11:27:00.000Z%,8000036,;426
2022-01-04T11:30:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89978;8000048;8000048%2022-01-04T11:30:00.000Z%,8003096,8002461,8000315,8004626,8004251,8000441,8002680,8000149,8001045,8003986,8001558,8005102,8002841,8000263,;426
2022-01-04T11:44:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79292;8000048;8000048%2022-01-04T11:44:00.000Z%,8000036,;426
2022-01-04T12:15:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79303;8000048;8000048%2022-01-04T12:15:00.000Z%,8002461,8000315,8002801,8001335,8000846,8006206,8006207,8005834,8000263,;426
2022-01-04T12:27:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89979;8000048;8000048%2022-01-04T12:27:00.000Z%,8000036,;426
2022-01-04T12:30:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89980;8000048;8000048%2022-01-04T12:30:00.000Z%,8003096,8002461,8000315,8004626,8004251,8000441,8002680,8000149,8001045,8003986,8001558,8005102,8002841,8000263,;426
2022-01-04T12:44:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79294;8000048;8000048%2022-01-04T12:44:00.000Z%,8000036,;426
2022-01-04T13:17:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79305;8000048;8000048%2022-01-04T13:17:00.000Z%,8002461,8000315,8002801,8001335,8000846,8006206,8006207,8005834,8000263,;426
2022-01-04T13:27:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89981;8000048;8000048%2022-01-04T13:27:00.000Z%,8000036,;426
2022-01-04T13:30:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89982;8000048;8000048%2022-01-04T13:30:00.000Z%,8003096,8002461,8000315,8004626,8004251,8000441,8002680,8000149,8001045,8003986,8001558,8005102,8002841,8000263,;426
2022-01-04T13:44:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79296;8000048;8000048%2022-01-04T13:44:00.000Z%,8000036,;426
2022-01-04T14:15:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79307;8000048;8000048%2022-01-04T14:15:00.000Z%,8002461,8000315,8002801,8001335,8000846,8006206,8006207,8005834,8000263,;426
2022-01-04T14:27:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89983;8000048;8000048%2022-01-04T14:27:00.000Z%,8000036,;426
2022-01-04T14:30:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89984;8000048;8000048%2022-01-04T14:30:00.000Z%,8003096,8002461,8000315,8004626,8004251,8000441,8002680,8000149,8001045,8003986,8001558,8005102,8002841,8000263,;426
2022-01-04T14:44:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79302;8000048;8000048%2022-01-04T14:44:00.000Z%,8000036,;426
2022-01-04T06:44:00.000Z;Kaufering;RB;RB 74;74;57373;8000195;8000195%2022-01-04T06:44:00.000Z%0,8000119,8004158,8098261,;426
